id_isqueiro_usuario,id_local,data_uso,contexto_uso,duracao_uso,condicao_uso,ambiente,id_utilizacao
338,14,2025-09-12 18:23:30.476833,Social,12,Normal,Sozinho,111
179,1,2025-09-12 18:27:55.457141,Cigarro,13,Vento,Em família,112
303,7,2025-09-12 18:25:34.265802,Piquenique,13,Frio,Sozinho,113
219,2,2025-09-12 18:26:42.491919,Churrasco,20,Sol,No trabalho,114
478,10,2025-09-12 18:25:22.838756,Churrasco,20,Sol,Sozinho,115
369,19,2025-09-12 18:25:44.987958,Piquenique,11,Chuva,No trabalho,116
240,8,2025-09-12 18:26:11.827419,Tabaco,3,Vento,Com amigos,117
487,9,2025-09-12 18:24:20.813422,Tabaco,10,Frio,Sozinho,118
293,13,2025-09-12 18:23:49.838458,Tabaco,11,Vento,Sozinho,119
129,20,2025-09-12 18:23:32.399873,Tabaco,12,Frio,Com amigos,120
429,9,2025-09-12 18:29:14.052156,Churrasco,17,Sol,Sozinho,121
5,15,2025-09-12 18:26:00.379352,Tabaco,14,Sol,Com amigos,122
285,7,2025-09-12 18:24:02.336571,Incenso,5,Vento,Em família,123
283,11,2025-09-12 18:25:55.953155,Cigarro,17,Chuva,Sozinho,124
403,9,2025-09-12 18:27:33.085415,Tabaco,18,Chuva,Sozinho,125
90,5,2025-09-12 18:29:18.436277,Churrasco,4,Chuva,Sozinho,126
20,6,2025-09-12 18:25:12.343225,Social,17,Frio,Sozinho,127
284,8,2025-09-12 18:28:25.728415,Tabaco,11,Vento,Sozinho,128
433,12,2025-09-12 18:26:36.454219,Social,4,Frio,Sozinho,129
56,3,2025-09-12 18:26:12.449985,Social,6,Frio,Sozinho,130
105,11,2025-09-12 18:26:25.002992,Social,16,Normal,Com amigos,131
449,10,2025-09-12 18:28:47.866833,Tabaco,13,Frio,Com amigos,132
172,14,2025-09-12 18:27:42.467485,Churrasco,14,Sol,No trabalho,133
151,20,2025-09-12 18:26:05.862602,Tabaco,14,Normal,Sozinho,134
77,19,2025-09-12 18:23:34.958363,Tabaco,9,Vento,Sozinho,135
400,17,2025-09-12 18:27:18.996907,Piquenique,14,Chuva,Sozinho,136
299,2,2025-09-12 18:28:34.318846,Social,7,Sol,Com amigos,137
333,3,2025-09-12 18:23:45.937593,Cigarro,10,Frio,Sozinho,138
295,18,2025-09-12 18:27:28.208990,Piquenique,20,Normal,Em família,139
271,2,2025-09-12 18:29:25.585529,Social,19,Frio,Sozinho,140
138,7,2025-09-12 18:23:29.421098,Churrasco,12,Chuva,Sozinho,141
410,12,2025-09-12 18:23:54.816186,Tabaco,13,Normal,Com amigos,142
228,14,2025-09-12 18:27:58.809931,Incenso,14,Frio,Sozinho,143
469,12,2025-09-12 18:28:43.914564,Social,10,Sol,Com amigos,144
118,19,2025-09-12 18:29:01.363043,Churrasco,7,Frio,Sozinho,145
466,14,2025-09-12 18:28:54.584982,Social,7,Frio,Sozinho,146
147,11,2025-09-12 18:28:14.411809,Incenso,5,Sol,Sozinho,147
76,19,2025-09-12 18:24:32.745491,Incenso,9,Chuva,Em família,148
8,6,2025-09-12 18:29:22.155148,Tabaco,11,Frio,Com amigos,149
241,4,2025-09-12 18:28:00.496909,Tabaco,4,Sol,Sozinho,150
86,3,2025-09-12 18:28:07.043869,Tabaco,19,Sol,No trabalho,151
182,5,2025-09-12 18:25:06.191194,Incenso,20,Chuva,Com amigos,152
61,11,2025-09-12 18:28:04.413167,Churrasco,13,Frio,Com amigos,153
56,2,2025-09-12 18:27:48.144412,Tabaco,14,Sol,No trabalho,154
323,15,2025-09-12 18:26:06.457107,Piquenique,16,Vento,Com amigos,155
359,5,2025-09-12 18:27:27.547984,Piquenique,19,Normal,Sozinho,156
4,19,2025-09-12 18:25:01.726227,Social,17,Sol,Sozinho,157
91,17,2025-09-12 18:23:54.548047,Piquenique,11,Normal,Sozinho,158
253,11,2025-09-12 18:23:33.562324,Tabaco,19,Frio,Sozinho,159
433,14,2025-09-12 18:28:51.339272,Tabaco,15,Vento,Com amigos,160
489,5,2025-09-12 18:27:30.158935,Tabaco,9,Sol,Sozinho,161
295,20,2025-09-12 18:26:01.361982,Incenso,14,Vento,Sozinho,162
148,9,2025-09-12 18:23:31.725821,Incenso,10,Chuva,Sozinho,163
470,9,2025-09-12 18:28:40.313082,Cigarro,6,Chuva,Com amigos,164
73,4,2025-09-12 18:26:10.163693,Tabaco,19,Chuva,Sozinho,165
463,2,2025-09-12 18:24:59.085219,Cigarro,20,Frio,Com amigos,166
4,16,2025-09-12 18:24:52.995841,Churrasco,3,Vento,Sozinho,167
483,19,2025-09-12 18:27:39.172130,Incenso,17,Frio,Sozinho,168
233,10,2025-09-12 18:26:22.563345,Cigarro,6,Sol,Em família,169
253,9,2025-09-12 18:25:28.250394,Tabaco,7,Vento,Com amigos,170
60,12,2025-09-12 18:24:05.726581,Churrasco,10,Normal,Sozinho,171
260,11,2025-09-12 18:25:45.803023,Tabaco,19,Normal,Com amigos,172
162,2,2025-09-12 18:25:05.964257,Incenso,19,Vento,Sozinho,173
286,2,2025-09-12 18:23:40.336926,Cigarro,3,Chuva,Sozinho,174
193,8,2025-09-12 18:24:56.075890,Social,11,Sol,Sozinho,175
417,6,2025-09-12 18:28:22.647799,Piquenique,12,Chuva,Sozinho,176
449,3,2025-09-12 18:29:15.549413,Cigarro,9,Normal,Sozinho,177
252,18,2025-09-12 18:28:10.223649,Social,8,Normal,Sozinho,178
135,20,2025-09-12 18:24:05.434326,Incenso,10,Vento,Sozinho,179
337,6,2025-09-12 18:24:07.361305,Churrasco,10,Vento,Com amigos,180
251,13,2025-09-12 18:25:26.177698,Social,20,Sol,Sozinho,181
113,4,2025-09-12 18:27:07.207531,Cigarro,12,Sol,No trabalho,182
167,8,2025-09-12 18:28:27.728181,Social,6,Chuva,Sozinho,183
164,4,2025-09-12 18:28:06.724607,Incenso,15,Chuva,Com amigos,184
248,16,2025-09-12 18:25:35.717710,Social,10,Normal,Sozinho,185
260,7,2025-09-12 18:26:11.870237,Churrasco,16,Normal,Sozinho,186
166,9,2025-09-12 18:28:14.960447,Social,16,Sol,Em família,187
218,13,2025-09-12 18:24:18.413995,Tabaco,4,Vento,Sozinho,188
113,11,2025-09-12 18:23:41.743517,Social,4,Vento,Sozinho,189
114,19,2025-09-12 18:24:03.073967,Churrasco,20,Chuva,Com amigos,190
57,20,2025-09-12 18:28:48.631399,Social,7,Frio,Sozinho,191
487,1,2025-09-12 18:23:32.529333,Churrasco,5,Vento,No trabalho,192
393,18,2025-09-12 18:26:48.115617,Tabaco,4,Frio,Sozinho,193
275,7,2025-09-12 18:27:46.779912,Cigarro,20,Sol,Em família,194
118,10,2025-09-12 18:27:14.102855,Churrasco,14,Vento,Sozinho,195
284,8,2025-09-12 18:28:12.643573,Cigarro,4,Normal,Com amigos,196
270,4,2025-09-12 18:28:01.271483,Social,18,Normal,Sozinho,197
155,1,2025-09-12 18:24:10.124751,Tabaco,10,Normal,Sozinho,198
64,13,2025-09-12 18:27:01.397965,Social,7,Vento,Em família,199
40,3,2025-09-12 18:25:54.431645,Social,16,Normal,Sozinho,200
426,18,2025-09-12 18:23:46.841844,Social,7,Normal,Com amigos,201
406,13,2025-09-12 18:25:31.333622,Tabaco,12,Vento,Sozinho,202
381,1,2025-09-12 18:28:56.557410,Incenso,17,Chuva,Sozinho,203
497,19,2025-09-12 18:25:44.147152,Incenso,12,Sol,Sozinho,204
496,14,2025-09-12 18:26:33.008021,Social,18,Vento,No trabalho,205
274,17,2025-09-12 18:26:46.900889,Tabaco,3,Sol,Com amigos,206
488,12,2025-09-12 18:27:30.495025,Piquenique,6,Sol,Sozinho,207
500,1,2025-09-12 18:28:33.065693,Incenso,10,Sol,Sozinho,208
289,4,2025-09-12 18:27:12.745793,Social,13,Chuva,Em família,209
500,3,2025-09-12 18:28:11.691978,Tabaco,8,Chuva,Em família,210
251,19,2025-09-12 18:26:07.350864,Tabaco,7,Sol,Com amigos,211
243,17,2025-09-12 18:23:41.719500,Piquenique,10,Normal,Com amigos,212
130,14,2025-09-12 18:24:21.886225,Incenso,13,Chuva,Sozinho,213
353,19,2025-09-12 18:28:31.308957,Social,3,Vento,Com amigos,214
387,18,2025-09-12 18:25:15.739225,Piquenique,20,Sol,Sozinho,215
334,8,2025-09-12 18:24:22.878394,Incenso,18,Frio,Sozinho,216
379,3,2025-09-12 18:25:20.183130,Cigarro,16,Normal,Sozinho,217
388,1,2025-09-12 18:25:34.705524,Tabaco,6,Chuva,Sozinho,218
446,4,2025-09-12 18:24:10.694015,Tabaco,16,Sol,Sozinho,219
412,17,2025-09-12 18:25:48.460574,Incenso,20,Sol,Sozinho,220
152,4,2025-09-12 18:24:39.375883,Incenso,12,Vento,Sozinho,221
315,12,2025-09-12 18:27:25.681993,Social,8,Chuva,Sozinho,222
351,7,2025-09-12 18:25:51.447497,Churrasco,14,Frio,Com amigos,223
242,15,2025-09-12 18:27:14.321364,Tabaco,13,Chuva,Sozinho,224
367,16,2025-09-12 18:27:36.754084,Tabaco,16,Chuva,Sozinho,225
35,1,2025-09-12 18:29:17.123834,Incenso,9,Chuva,Com amigos,226
276,15,2025-09-12 18:25:18.448864,Incenso,4,Frio,Sozinho,227
81,3,2025-09-12 18:26:35.029286,Incenso,20,Chuva,Sozinho,228
8,7,2025-09-12 18:25:05.132829,Tabaco,16,Frio,Com amigos,229
189,20,2025-09-12 18:26:38.524218,Piquenique,11,Frio,Sozinho,230
338,7,2025-09-12 18:28:21.699024,Tabaco,7,Normal,Com amigos,231
144,6,2025-09-12 18:26:06.915360,Tabaco,6,Chuva,Com amigos,232
301,13,2025-09-12 18:28:49.168207,Incenso,11,Frio,Com amigos,233
243,7,2025-09-12 18:27:36.078148,Tabaco,10,Chuva,Sozinho,234
412,20,2025-09-12 18:28:27.531924,Tabaco,8,Sol,Em família,235
166,3,2025-09-12 18:28:41.802946,Churrasco,4,Chuva,Sozinho,236
226,14,2025-09-12 18:28:24.117259,Social,13,Vento,Sozinho,237
61,8,2025-09-12 18:26:56.505117,Social,15,Sol,Com amigos,238
182,10,2025-09-12 18:24:02.660035,Churrasco,13,Frio,Sozinho,239
310,7,2025-09-12 18:28:55.098587,Cigarro,11,Chuva,Em família,240
287,15,2025-09-12 18:28:31.277025,Incenso,11,Normal,Sozinho,241
223,12,2025-09-12 18:26:44.471526,Tabaco,14,Sol,Com amigos,242
178,14,2025-09-12 18:25:18.406047,Tabaco,20,Chuva,Sozinho,243
92,1,2025-09-12 18:26:03.069872,Tabaco,14,Frio,Sozinho,244
301,10,2025-09-12 18:25:06.645760,Incenso,14,Vento,Sozinho,245
7,20,2025-09-12 18:25:16.991482,Tabaco,11,Sol,Sozinho,246
357,9,2025-09-12 18:26:11.641016,Tabaco,4,Frio,Em família,247
442,16,2025-09-12 18:26:55.264693,Cigarro,17,Sol,Sozinho,248
384,18,2025-09-12 18:29:27.558062,Churrasco,4,Vento,Sozinho,249
458,5,2025-09-12 18:26:23.619423,Piquenique,8,Chuva,Sozinho,250
428,4,2025-09-12 18:24:21.432318,Tabaco,4,Vento,Sozinho,251
279,9,2025-09-12 18:25:27.538231,Cigarro,9,Frio,Com amigos,252
171,11,2025-09-12 18:25:18.354966,Churrasco,8,Frio,Com amigos,253
188,17,2025-09-12 18:26:37.354598,Tabaco,15,Sol,Em família,254
343,2,2025-09-12 18:26:42.760554,Tabaco,19,Chuva,Com amigos,255
43,6,2025-09-12 18:25:23.167998,Incenso,11,Frio,Sozinho,256
259,14,2025-09-12 18:24:35.390105,Tabaco,3,Vento,Sozinho,257
180,4,2025-09-12 18:29:07.758127,Incenso,5,Frio,No trabalho,258
46,4,2025-09-12 18:28:08.918933,Cigarro,8,Normal,Sozinho,259
303,1,2025-09-12 18:28:39.327742,Piquenique,3,Chuva,Com amigos,260
236,3,2025-09-12 18:24:40.256141,Churrasco,10,Vento,Em família,261
329,7,2025-09-12 18:28:46.409476,Piquenique,7,Vento,Sozinho,262
362,10,2025-09-12 18:28:43.726205,Tabaco,7,Frio,Sozinho,263
116,7,2025-09-12 18:26:05.373063,Tabaco,9,Chuva,No trabalho,264
133,15,2025-09-12 18:26:41.294793,Tabaco,18,Vento,Sozinho,265
179,17,2025-09-12 18:28:35.509773,Incenso,8,Normal,No trabalho,266
300,13,2025-09-12 18:25:16.705411,Tabaco,9,Sol,Sozinho,267
416,10,2025-09-12 18:27:20.601830,Tabaco,19,Frio,Em família,268
407,9,2025-09-12 18:23:59.152039,Tabaco,9,Vento,Sozinho,269
134,2,2025-09-12 18:26:01.095623,Cigarro,19,Chuva,Sozinho,270
240,19,2025-09-12 18:24:39.695730,Incenso,15,Frio,No trabalho,271
166,4,2025-09-12 18:26:46.843586,Social,3,Chuva,Sozinho,272
172,11,2025-09-12 18:27:24.884698,Social,6,Chuva,No trabalho,273
157,6,2025-09-12 18:28:15.279923,Incenso,8,Normal,Sozinho,274
316,15,2025-09-12 18:26:54.523246,Social,16,Sol,Sozinho,275
125,9,2025-09-12 18:29:03.154587,Piquenique,13,Sol,Com amigos,276
154,2,2025-09-12 18:27:11.722896,Cigarro,10,Frio,Sozinho,277
219,9,2025-09-12 18:27:57.985066,Cigarro,15,Frio,Sozinho,278
263,6,2025-09-12 18:24:53.720014,Cigarro,19,Chuva,No trabalho,279
291,5,2025-09-12 18:24:42.665860,Tabaco,13,Normal,No trabalho,280
159,5,2025-09-12 18:28:10.801241,Churrasco,17,Sol,Sozinho,281
1,5,2025-09-12 18:25:36.816319,Tabaco,8,Vento,Sozinho,282
95,8,2025-09-12 18:26:51.871219,Churrasco,16,Normal,Com amigos,283
79,18,2025-09-12 18:26:14.402736,Churrasco,14,Normal,Sozinho,284
177,4,2025-09-12 18:25:27.401489,Incenso,15,Chuva,No trabalho,285
343,13,2025-09-12 18:28:32.244379,Churrasco,10,Normal,Sozinho,286
163,5,2025-09-12 18:26:27.530885,Incenso,13,Vento,Em família,287
374,14,2025-09-12 18:25:07.910627,Social,20,Normal,Sozinho,288
343,19,2025-09-12 18:25:37.280845,Tabaco,8,Chuva,Sozinho,289
175,17,2025-09-12 18:28:42.680018,Churrasco,15,Normal,Com amigos,290
71,16,2025-09-12 18:27:12.170938,Tabaco,9,Vento,Sozinho,291
174,13,2025-09-12 18:27:22.100718,Social,16,Chuva,Sozinho,292
199,16,2025-09-12 18:26:13.265726,Tabaco,16,Chuva,Sozinho,293
350,17,2025-09-12 18:26:21.501407,Churrasco,17,Normal,Sozinho,294
376,4,2025-09-12 18:25:56.083333,Social,15,Normal,Sozinho,295
66,19,2025-09-12 18:29:02.547194,Social,17,Normal,Sozinho,296
492,13,2025-09-12 18:28:40.441731,Incenso,4,Vento,Sozinho,297
380,4,2025-09-12 18:25:59.694665,Social,17,Frio,Sozinho,298
243,11,2025-09-12 18:26:11.503923,Churrasco,14,Normal,Com amigos,299
218,18,2025-09-12 18:23:34.793571,Piquenique,5,Chuva,Sozinho,300
486,19,2025-09-12 18:25:49.379058,Tabaco,19,Frio,Com amigos,301
233,14,2025-09-12 18:24:59.967477,Tabaco,12,Normal,Sozinho,302
251,15,2025-09-12 18:27:58.683100,Incenso,14,Vento,Sozinho,303
346,10,2025-09-12 18:25:33.140962,Piquenique,3,Frio,Sozinho,304
151,12,2025-09-12 18:25:35.771333,Incenso,17,Vento,Sozinho,305
19,20,2025-09-12 18:27:16.781565,Tabaco,4,Frio,Com amigos,306
128,6,2025-09-12 18:29:26.125612,Tabaco,6,Chuva,Com amigos,307
325,16,2025-09-12 18:28:04.451913,Incenso,11,Vento,No trabalho,308
353,20,2025-09-12 18:24:52.576163,Tabaco,19,Frio,Sozinho,309
40,11,2025-09-12 18:27:03.236135,Incenso,7,Frio,No trabalho,310
327,4,2025-09-12 18:27:26.791895,Incenso,5,Vento,No trabalho,311
384,10,2025-09-12 18:27:36.555571,Incenso,3,Chuva,No trabalho,312
132,3,2025-09-12 18:29:14.247823,Churrasco,16,Normal,Com amigos,313
293,9,2025-09-12 18:25:39.242130,Cigarro,19,Frio,Em família,314
125,2,2025-09-12 18:23:35.549776,Incenso,18,Chuva,Com amigos,315
224,9,2025-09-12 18:24:58.179587,Piquenique,8,Vento,Sozinho,316
24,20,2025-09-12 18:24:29.862360,Incenso,8,Vento,Sozinho,317
209,7,2025-09-12 18:24:01.773141,Tabaco,16,Chuva,Sozinho,318
237,20,2025-09-12 18:25:54.746500,Piquenique,13,Normal,Sozinho,319
10,11,2025-09-12 18:23:50.041523,Tabaco,12,Frio,Em família,320
302,14,2025-09-12 18:26:34.936170,Social,13,Frio,Sozinho,321
477,18,2025-09-12 18:23:59.363357,Tabaco,13,Vento,Sozinho,322
228,5,2025-09-12 18:28:38.845946,Incenso,18,Chuva,Sozinho,323
88,13,2025-09-12 18:28:55.085383,Tabaco,4,Frio,No trabalho,324
324,16,2025-09-12 18:27:18.816124,Social,14,Normal,Sozinho,325
272,12,2025-09-12 18:27:40.655686,Incenso,13,Sol,Com amigos,326
16,5,2025-09-12 18:25:05.832871,Social,8,Frio,Sozinho,327
221,14,2025-09-12 18:25:30.522547,Cigarro,3,Vento,Sozinho,328
252,8,2025-09-12 18:24:41.014670,Incenso,20,Chuva,Sozinho,329
486,4,2025-09-12 18:29:08.362441,Tabaco,9,Chuva,No trabalho,330
293,10,2025-09-12 18:24:29.036324,Tabaco,8,Sol,Sozinho,331
181,7,2025-09-12 18:25:00.721938,Incenso,11,Vento,Com amigos,332
323,4,2025-09-12 18:23:54.105847,Social,13,Frio,Sozinho,333
201,8,2025-09-12 18:29:06.388687,Churrasco,18,Sol,Sozinho,334
474,15,2025-09-12 18:26:53.044669,Tabaco,8,Sol,Sozinho,335
273,11,2025-09-12 18:27:37.775087,Piquenique,8,Normal,Sozinho,336
335,14,2025-09-12 18:27:15.410745,Cigarro,16,Chuva,Com amigos,337
317,8,2025-09-12 18:26:37.660471,Tabaco,19,Normal,Sozinho,338
375,14,2025-09-12 18:27:33.067760,Cigarro,13,Frio,Sozinho,339
292,16,2025-09-12 18:24:35.413287,Social,14,Normal,Com amigos,340
453,13,2025-09-12 18:25:04.559735,Social,9,Chuva,Sozinho,341
371,8,2025-09-12 18:27:36.410771,Tabaco,9,Vento,Sozinho,342
34,1,2025-09-12 18:25:26.971054,Tabaco,17,Sol,Sozinho,343
309,15,2025-09-12 18:27:08.732124,Cigarro,8,Sol,Sozinho,344
57,20,2025-09-12 18:24:37.098350,Churrasco,8,Chuva,Sozinho,345
493,3,2025-09-12 18:24:27.814378,Tabaco,4,Sol,Em família,346
241,13,2025-09-12 18:25:08.358724,Tabaco,16,Vento,Em família,347
276,4,2025-09-12 18:26:25.815571,Piquenique,20,Normal,Sozinho,348
424,2,2025-09-12 18:26:00.091700,Tabaco,15,Normal,Sozinho,349
367,17,2025-09-12 18:28:03.972043,Social,17,Sol,Com amigos,350
54,5,2025-09-12 18:28:36.692407,Churrasco,6,Chuva,Sozinho,351
337,11,2025-09-12 18:25:57.860376,Tabaco,10,Sol,Sozinho,352
50,11,2025-09-12 18:25:56.730723,Social,5,Sol,Em família,353
