id_usuario,nome,genero,idade,faixa_idade,perfil_fumante,marca_isqueiro,cor_isqueiro,tipo_isqueiro,preco_compra,data_compra,data_uso,tempo_posse,contexto_uso,proposito_uso,num_ascendimentos,frequencia_uso,mes_ano,perdeu,dias_ate_perda,data_perda,local_perda
USER_0026,Usuario_26,F,47,36-50,Social,Clipper,Vermelho,Recarregavel,7.77,2025-01-18 22:48:55.783059,2025-05-08 22:48:55.783059,110,Casa,Vela,158,1.44,2025-05,True,101,2025-04-29 22:48:55.783059,Quarto
USER_0027,Usuario_27,M,40,36-50,Social,Clipper,Azul,Recarregavel,7.85,2024-09-17 22:48:55.783059,2025-01-10 22:48:55.783059,115,Trabalho,Incenso,162,1.41,2025-01,True,16,2024-10-03 22:48:55.783059,Escritorio
USER_0028,Usuario_28,M,22,18-25,Social,Zippo,Vermelho,Recarregavel,50.63,2024-12-11 22:48:55.783059,2025-02-07 22:48:55.783059,58,Casa,Fogao,74,1.28,2025-02,False,0,,N/A
USER_0029,Usuario_29,F,33,26-35,Pesado,Zippo,Prata,Recarregavel,50.19,2025-05-28 22:48:55.783059,2025-10-05 22:48:55.783059,130,Bar,Cigarro,384,2.95,2025-10,True,96,2025-09-01 22:48:55.783059,Bar
USER_0030,Usuario_30,F,22,18-25,Social,Clipper,Dourado,Recarregavel,8.78,2025-02-23 22:48:55.783059,2025-05-29 22:48:55.783059,95,Rua,Cigarro,154,1.62,2025-05,False,0,,N/A
USER_0031,Usuario_31,M,54,51+,Social,Cricket,Dourado,Descartavel,2.81,2024-10-30 22:48:55.783059,2024-12-02 22:48:55.783059,33,Casa,Cigarro,36,1.09,2024-12,False,0,,N/A
USER_0032,Usuario_32,M,43,36-50,Moderado,Cricket,Preto,Descartavel,1.68,2025-01-09 22:48:55.783059,2025-04-28 22:48:55.783059,109,Rua,Incenso,218,2.0,2025-04,True,89,2025-04-08 22:48:55.783059,Na_rua
USER_0033,Usuario_33,M,53,51+,Moderado,Cricket,Dourado,Descartavel,2.15,2024-12-24 22:48:55.783059,2025-04-19 22:48:55.783059,116,Trabalho,Vela,212,1.83,2025-04,False,0,,N/A
USER_0034,Usuario_34,F,30,26-35,Esporadico,Bic,Amarelo,Descartavel,3.81,2024-11-17 22:48:55.783059,2025-02-13 22:48:55.783059,88,Parque,Vela,79,0.9,2025-02,True,19,2024-12-06 22:48:55.783059,Parque
USER_0035,Usuario_35,M,45,36-50,Nao_fumante,Generico,Branco,Descartavel,1.49,2025-02-07 22:48:55.783059,2025-04-21 22:48:55.783059,73,Trabalho,Fogao,19,0.26,2025-04,False,0,,N/A
USER_0036,Usuario_36,M,56,51+,Pesado,Zippo,Prata,Recarregavel,51.49,2025-01-16 22:48:55.783059,2025-06-27 22:48:55.783059,162,Bar,Fogao,502,3.1,2025-06,False,0,,N/A
USER_0037,Usuario_37,F,61,51+,Esporadico,Cricket,Amarelo,Descartavel,2.4,2025-03-05 22:48:55.783059,2025-03-18 22:48:55.783059,13,Carro,Vela,5,0.38,2025-03,True,4,2025-03-09 22:48:55.783059,Carro
USER_0038,Usuario_38,M,24,18-25,Nao_fumante,Cricket,Amarelo,Descartavel,2.42,2025-06-18 22:48:55.783059,2025-08-22 22:48:55.783059,65,Casa,Vela,18,0.28,2025-08,True,45,2025-08-02 22:48:55.783059,Casa
USER_0039,Usuario_39,F,45,36-50,Social,Cricket,Dourado,Descartavel,1.24,2024-09-17 22:48:55.783059,2024-09-24 22:48:55.783059,7,Parque,Tabaco,9,1.29,2024-09,False,0,,N/A
USER_0040,Usuario_40,F,62,51+,Nao_fumante,Bic,Verde,Descartavel,2.09,2025-04-17 22:48:55.783059,2025-07-05 22:48:55.783059,79,Trabalho,Cigarro,32,0.41,2025-07,True,49,2025-06-05 22:48:55.783059,Trabalho
USER_0041,Usuario_41,M,48,36-50,Nao_fumante,Clipper,Branco,Recarregavel,9.3,2024-09-28 22:48:55.783059,2024-12-15 22:48:55.783059,78,Casa,Cigarro,23,0.29,2024-12,False,0,,N/A
USER_0042,Usuario_42,F,45,36-50,Pesado,Generico,Dourado,Descartavel,1.41,2025-02-08 22:48:55.783059,2025-04-26 22:48:55.783059,77,Bar,Cigarro,222,2.88,2025-04,False,0,,N/A
USER_0043,Usuario_43,M,23,18-25,Nao_fumante,Cricket,Prata,Descartavel,2.84,2024-09-26 22:48:55.783059,2024-11-25 22:48:55.783059,60,Casa,Vela,24,0.4,2024-11,False,0,,N/A
USER_0044,Usuario_44,F,49,36-50,Nao_fumante,Zippo,Preto,Recarregavel,50.26,2025-07-28 22:48:55.783059,2025-09-22 22:48:55.783059,56,Casa,Cigarro,18,0.32,2025-09,True,55,2025-09-21 22:48:55.783059,Quarto
USER_0045,Usuario_45,F,34,26-35,Social,Cricket,Branco,Descartavel,2.11,2024-11-08 22:48:55.783059,2024-12-19 22:48:55.783059,41,Casa,Tabaco,68,1.66,2024-12,True,13,2024-11-21 22:48:55.783059,Sala
USER_0046,Usuario_46,F,18,18-25,Social,Clipper,Vermelho,Recarregavel,8.04,2024-10-25 22:48:55.783059,2024-11-24 22:48:55.783059,30,Bar,Vela,45,1.5,2024-11,False,0,,N/A
USER_0047,Usuario_47,F,22,18-25,Pesado,Cricket,Azul,Descartavel,1.27,2025-07-16 22:48:55.783059,2025-08-12 22:48:55.783059,27,Bar,Cigarro,88,3.26,2025-08,True,2,2025-07-18 22:48:55.783059,Restaurante
USER_0048,Usuario_48,F,51,51+,Social,Clipper,Branco,Recarregavel,9.31,2025-07-21 22:48:55.783059,2025-09-01 22:48:55.783059,42,Casa,Vela,62,1.48,2025-09,False,0,,N/A
USER_0049,Usuario_49,M,21,18-25,Social,Cricket,Azul,Descartavel,1.52,2024-11-24 22:48:55.783059,2025-01-01 22:48:55.783059,38,Casa,Incenso,60,1.58,2025-01,True,23,2024-12-17 22:48:55.783059,Cozinha
USER_0050,Usuario_50,F,48,36-50,Social,Clipper,Vermelho,Recarregavel,7.86,2025-03-19 22:48:55.783059,2025-04-17 22:48:55.783059,29,Trabalho,Cigarro,53,1.83,2025-04,True,19,2025-04-07 22:48:55.783059,Escritorio
USER_0051,Usuario_51,M,35,26-35,Moderado,Bic,Verde,Descartavel,3.1,2025-01-27 22:48:55.783059,2025-05-16 22:48:55.783059,109,Casa,Cigarro,212,1.94,2025-05,True,26,2025-02-22 22:48:55.783059,Casa
USER_0052,Usuario_52,M,39,36-50,Pesado,Ronson,Prata,Recarregavel,15.25,2024-10-12 22:48:55.783059,2024-12-16 22:48:55.783059,65,Casa,Cigarro,209,3.22,2024-12,False,0,,N/A
USER_0053,Usuario_53,F,31,26-35,Social,Zippo,Dourado,Recarregavel,50.94,2025-02-17 22:48:55.783059,2025-04-01 22:48:55.783059,43,Trabalho,Fogao,55,1.28,2025-04,False,0,,N/A
USER_0054,Usuario_54,F,62,51+,Esporadico,Zippo,Branco,Recarregavel,49.98,2025-01-13 22:48:55.783059,2025-03-11 22:48:55.783059,57,Casa,Fogao,39,0.68,2025-03,False,0,,N/A
USER_0055,Usuario_55,F,27,26-35,Esporadico,Zippo,Prata,Recarregavel,50.67,2024-10-20 22:48:55.783059,2025-03-09 22:48:55.783059,140,Casa,Tabaco,120,0.86,2025-03,True,26,2024-11-15 22:48:55.783059,Sala
USER_0056,Usuario_56,F,62,51+,Moderado,Ronson,Verde,Recarregavel,14.7,2025-04-02 22:48:55.783059,2025-07-10 22:48:55.783059,99,Casa,Cigarro,187,1.89,2025-07,True,55,2025-05-27 22:48:55.783059,Casa
USER_0057,Usuario_57,M,20,18-25,Social,Zippo,Vermelho,Recarregavel,51.49,2024-09-22 22:48:55.783059,2024-12-26 22:48:55.783059,95,Casa,Charuto,145,1.53,2024-12,True,51,2024-11-12 22:48:55.783059,Quarto
USER_0058,Usuario_58,M,19,18-25,Social,Clipper,Branco,Recarregavel,9.18,2025-01-27 22:48:55.783059,2025-04-11 22:48:55.783059,74,Rua,Incenso,101,1.36,2025-04,False,0,,N/A
USER_0059,Usuario_59,F,54,51+,Social,Ronson,Verde,Recarregavel,15.57,2025-02-24 22:48:55.783059,2025-08-06 22:48:55.783059,163,Casa,Outro,237,1.45,2025-08,True,130,2025-07-04 22:48:55.783059,Sala
USER_0060,Usuario_60,M,54,51+,Pesado,Bic,Prata,Descartavel,2.94,2024-12-19 22:48:55.783059,2025-03-28 22:48:55.783059,99,Festa,Cigarro,329,3.32,2025-03,False,0,,N/A
USER_0061,Usuario_61,M,51,51+,Moderado,Bic,Dourado,Descartavel,3.44,2024-11-15 22:48:55.783059,2025-01-22 22:48:55.783059,68,Parque,Tabaco,146,2.15,2025-01,False,0,,N/A
USER_0062,Usuario_62,M,22,18-25,Moderado,Clipper,Amarelo,Recarregavel,8.22,2025-05-11 22:48:55.783059,2025-06-26 22:48:55.783059,46,Rua,Cigarro,89,1.93,2025-06,True,38,2025-06-18 22:48:55.783059,Na_rua
USER_0063,Usuario_63,M,32,26-35,Social,Zippo,Prata,Recarregavel,50.27,2025-07-22 22:48:55.783059,2025-12-02 22:48:55.783059,133,Casa,Vela,187,1.41,2025-12,False,0,,N/A
USER_0064,Usuario_64,F,32,26-35,Esporadico,Zippo,Amarelo,Recarregavel,51.29,2025-02-20 22:48:55.783059,2025-04-28 22:48:55.783059,67,Trabalho,Cigarro,59,0.88,2025-04,True,66,2025-04-27 22:48:55.783059,Trabalho
USER_0065,Usuario_65,M,27,26-35,Moderado,Cricket,Prata,Descartavel,1.76,2025-04-20 22:48:55.783059,2025-06-15 22:48:55.783059,56,Casa,Cigarro,109,1.95,2025-06,False,0,,N/A
USER_0066,Usuario_66,F,44,36-50,Social,Clipper,Vermelho,Recarregavel,8.93,2025-06-26 22:48:55.783059,2025-09-07 22:48:55.783059,73,Casa,Tabaco,105,1.44,2025-09,False,0,,N/A
USER_0067,Usuario_67,F,30,26-35,Pesado,Bic,Azul,Descartavel,2.04,2025-07-29 22:48:55.783059,2025-09-14 22:48:55.783059,47,Bar,Incenso,163,3.47,2025-09,False,0,,N/A
USER_0068,Usuario_68,F,45,36-50,Moderado,Bic,Branco,Descartavel,3.47,2025-07-09 22:48:55.783059,2025-08-23 22:48:55.783059,45,Casa,Camping,107,2.38,2025-08,False,0,,N/A
USER_0069,Usuario_69,F,40,36-50,Nao_fumante,Ronson,Prata,Recarregavel,14.95,2025-02-12 22:48:55.783059,2025-05-05 22:48:55.783059,82,Casa,Vela,22,0.27,2025-05,False,0,,N/A
USER_0070,Usuario_70,M,43,36-50,Nao_fumante,Bic,Preto,Descartavel,2.96,2024-10-03 22:48:55.783059,2024-11-19 22:48:55.783059,47,Casa,Cigarro,11,0.23,2024-11,True,29,2024-11-01 22:48:55.783059,Cozinha
USER_0071,Usuario_71,M,39,36-50,Moderado,Bic,Azul,Descartavel,2.36,2024-12-09 22:48:55.783059,2025-03-28 22:48:55.783059,109,Casa,Charuto,200,1.83,2025-03,False,0,,N/A
USER_0072,Usuario_72,M,49,36-50,Pesado,Cricket,Branco,Descartavel,2.6,2025-07-31 22:48:55.783059,2025-09-05 22:48:55.783059,36,Rua,Tabaco,107,2.97,2025-09,True,1,2025-08-01 22:48:55.783059,Ponto_onibus
USER_0073,Usuario_73,M,64,51+,Social,Clipper,Azul,Recarregavel,8.3,2025-03-01 22:48:55.783059,2025-04-25 22:48:55.783059,55,Parque,Camping,72,1.31,2025-04,True,10,2025-03-11 22:48:55.783059,Area_verde
USER_0074,Usuario_74,F,51,51+,Social,Bic,Vermelho,Descartavel,3.68,2024-09-24 22:48:55.783059,2024-12-02 22:48:55.783059,69,Casa,Vela,105,1.52,2024-12,False,0,,N/A
USER_0075,Usuario_75,M,64,51+,Social,Ronson,Vermelho,Recarregavel,14.98,2025-07-04 22:48:55.783059,2025-11-06 22:48:55.783059,125,Casa,Vela,216,1.73,2025-11,True,74,2025-09-16 22:48:55.783059,Cozinha
USER_0076,Usuario_76,M,40,36-50,Esporadico,Bic,Branco,Descartavel,3.17,2025-03-23 22:48:55.783059,2025-06-17 22:48:55.783059,86,Casa,Tabaco,81,0.94,2025-06,True,12,2025-04-04 22:48:55.783059,Sala
USER_0077,Usuario_77,M,54,51+,Social,Clipper,Preto,Recarregavel,9.22,2025-06-23 22:48:55.783059,2025-09-16 22:48:55.783059,85,Parque,Fogao,142,1.67,2025-09,True,81,2025-09-12 22:48:55.783059,Praca
USER_0078,Usuario_78,M,57,51+,Social,Zippo,Azul,Recarregavel,49.78,2025-05-09 22:48:55.783059,2025-06-11 22:48:55.783059,33,Bar,Vela,54,1.64,2025-06,False,0,,N/A
USER_0079,Usuario_79,M,55,51+,Pesado,Zippo,Amarelo,Recarregavel,51.16,2024-12-12 22:48:55.783059,2025-05-07 22:48:55.783059,146,Trabalho,Tabaco,470,3.22,2025-05,False,0,,N/A
USER_0080,Usuario_80,M,27,26-35,Nao_fumante,Zippo,Vermelho,Recarregavel,51.04,2024-11-01 22:48:55.783059,2025-02-02 22:48:55.783059,93,Trabalho,Cigarro,22,0.24,2025-02,False,0,,N/A
USER_0081,Usuario_81,M,53,51+,Esporadico,Bic,Branco,Descartavel,3.9,2024-11-10 22:48:55.783059,2025-03-05 22:48:55.783059,115,Casa,Tabaco,115,1.0,2025-03,False,0,,N/A
USER_0082,Usuario_82,M,52,51+,Esporadico,Cricket,Branco,Descartavel,2.19,2025-04-05 22:48:55.783059,2025-05-05 22:48:55.783059,30,Casa,Vela,24,0.8,2025-05,False,0,,N/A
USER_0083,Usuario_83,F,59,51+,Social,Bic,Preto,Descartavel,3.6,2025-03-07 22:48:55.783059,2025-05-01 22:48:55.783059,55,Casa,Cigarro,76,1.38,2025-05,False,0,,N/A
USER_0084,Usuario_84,M,34,26-35,Nao_fumante,Zippo,Prata,Recarregavel,49.67,2024-12-05 22:48:55.783059,2025-03-27 22:48:55.783059,112,Trabalho,Incenso,38,0.34,2025-03,False,0,,N/A
USER_0085,Usuario_85,M,35,26-35,Social,Bic,Preto,Descartavel,2.1,2024-10-12 22:48:55.783059,2024-12-02 22:48:55.783059,51,Casa,Incenso,76,1.49,2024-12,True,8,2024-10-20 22:48:55.783059,Quarto
USER_0086,Usuario_86,M,40,36-50,Esporadico,Cricket,Vermelho,Descartavel,2.69,2024-12-28 22:48:55.783059,2025-01-18 22:48:55.783059,21,Rua,Vela,19,0.9,2025-01,False,0,,N/A
USER_0087,Usuario_87,M,57,51+,Social,Zippo,Prata,Recarregavel,50.13,2024-09-20 22:48:55.783059,2025-01-20 22:48:55.783059,122,Rua,Vela,189,1.55,2025-01,False,0,,N/A
USER_0088,Usuario_88,F,52,51+,Esporadico,Bic,Prata,Descartavel,2.37,2025-06-17 22:48:55.783059,2025-07-23 22:48:55.783059,36,Casa,Cigarro,39,1.08,2025-07,True,16,2025-07-03 22:48:55.783059,Sala
USER_0089,Usuario_89,F,64,51+,Moderado,Bic,Prata,Descartavel,2.84,2024-11-20 22:48:55.783059,2025-02-26 22:48:55.783059,98,Bar,Cigarro,187,1.91,2025-02,True,53,2025-01-12 22:48:55.783059,Restaurante
USER_0090,Usuario_90,M,26,26-35,Pesado,Zippo,Vermelho,Recarregavel,49.94,2025-07-06 22:48:55.783059,2025-10-04 22:48:55.783059,90,Carro,Vela,258,2.87,2025-10,False,0,,N/A
USER_0091,Usuario_91,F,30,26-35,Nao_fumante,Cricket,Vermelho,Descartavel,1.46,2025-02-11 22:48:55.783059,2025-05-19 22:48:55.783059,97,Rua,Tabaco,31,0.32,2025-05,True,90,2025-05-12 22:48:55.783059,Na_rua
USER_0092,Usuario_92,M,20,18-25,Esporadico,Cricket,Amarelo,Descartavel,2.94,2025-03-12 22:48:55.783059,2025-03-25 22:48:55.783059,13,Trabalho,Incenso,7,0.54,2025-03,True,3,2025-03-15 22:48:55.783059,Trabalho
USER_0093,Usuario_93,M,64,51+,Pesado,Ronson,Verde,Recarregavel,14.68,2024-12-30 22:48:55.783059,2025-04-05 22:48:55.783059,96,Casa,Vela,276,2.88,2025-04,True,79,2025-03-19 22:48:55.783059,Sala
USER_0094,Usuario_94,M,22,18-25,Esporadico,Bic,Vermelho,Descartavel,2.75,2025-08-10 22:48:55.783059,2025-08-19 22:48:55.783059,9,Parque,Vela,6,0.67,2025-08,False,0,,N/A
USER_0095,Usuario_95,M,57,51+,Social,Clipper,Verde,Recarregavel,8.97,2025-04-20 22:48:55.783059,2025-05-13 22:48:55.783059,23,Casa,Cigarro,42,1.83,2025-05,True,13,2025-05-03 22:48:55.783059,Casa
USER_0096,Usuario_96,M,59,51+,Pesado,Clipper,Vermelho,Recarregavel,7.82,2025-05-09 22:48:55.783059,2025-06-27 22:48:55.783059,49,Parque,Cigarro,163,3.33,2025-06,True,30,2025-06-08 22:48:55.783059,Area_verde
USER_0097,Usuario_97,M,35,26-35,Esporadico,Cricket,Verde,Descartavel,1.52,2025-04-28 22:48:55.783059,2025-05-15 22:48:55.783059,17,Trabalho,Vela,15,0.88,2025-05,False,0,,N/A
USER_0098,Usuario_98,F,36,36-50,Esporadico,Clipper,Dourado,Recarregavel,9.18,2024-11-15 22:48:55.783059,2025-02-06 22:48:55.783059,83,Social,Incenso,82,0.99,2025-02,True,64,2025-01-18 22:48:55.783059,Encontro_amigos
USER_0099,Usuario_99,F,39,36-50,Esporadico,Zippo,Amarelo,Recarregavel,50.74,2025-04-14 22:48:55.783059,2025-07-02 22:48:55.783059,79,Rua,Vela,62,0.78,2025-07,True,33,2025-05-17 22:48:55.783059,Ponto_onibus
USER_0100,Usuario_100,M,32,26-35,Esporadico,Bic,Prata,Descartavel,2.89,2025-04-30 22:48:55.783059,2025-06-02 22:48:55.783059,33,Parque,Vela,37,1.12,2025-06,False,0,,N/A
USER_0101,Usuario_101,M,49,36-50,Pesado,Clipper,Amarelo,Recarregavel,7.76,2025-03-30 22:48:55.783059,2025-06-23 22:48:55.783059,85,Bar,Incenso,298,3.51,2025-06,False,0,,N/A
USER_0102,Usuario_102,F,23,18-25,Esporadico,Zippo,Branco,Recarregavel,50.32,2024-10-01 22:48:55.783059,2025-04-10 22:48:55.783059,191,Trabalho,Vela,141,0.74,2025-04,False,0,,N/A
USER_0103,Usuario_103,F,44,36-50,Nao_fumante,Bic,Azul,Descartavel,2.18,2024-09-24 22:48:55.783059,2024-12-16 22:48:55.783059,83,Casa,Fogao,24,0.29,2024-12,True,24,2024-10-18 22:48:55.783059,Sala
USER_0104,Usuario_104,F,20,18-25,Moderado,Zippo,Amarelo,Recarregavel,49.73,2025-06-16 22:48:55.783059,2025-11-18 22:48:55.783059,155,Rua,Cigarro,320,2.06,2025-11,True,117,2025-10-11 22:48:55.783059,Ponto_onibus
USER_0105,Usuario_105,F,25,18-25,Moderado,Zippo,Dourado,Recarregavel,50.43,2025-08-02 22:48:55.783059,2025-11-21 22:48:55.783059,111,Rua,Tabaco,221,1.99,2025-11,False,0,,N/A
USER_0106,Usuario_106,F,58,51+,Pesado,Zippo,Dourado,Recarregavel,49.79,2024-12-01 22:48:55.783059,2025-04-30 22:48:55.783059,150,Trabalho,Cigarro,454,3.03,2025-04,True,97,2025-03-08 22:48:55.783059,Trabalho
USER_0107,Usuario_107,M,50,36-50,Esporadico,Bic,Verde,Descartavel,2.16,2024-12-28 22:48:55.783059,2025-03-08 22:48:55.783059,70,Casa,Incenso,60,0.86,2025-03,False,0,,N/A
USER_0108,Usuario_108,M,20,18-25,Esporadico,Clipper,Azul,Recarregavel,7.6,2024-10-27 22:48:55.783059,2025-02-22 22:48:55.783059,118,Trabalho,Vela,98,0.83,2025-02,False,0,,N/A
USER_0109,Usuario_109,F,21,18-25,Social,Cricket,Prata,Descartavel,2.29,2025-07-10 22:48:55.783059,2025-09-12 22:48:55.783059,64,Casa,Tabaco,103,1.61,2025-09,True,45,2025-08-24 22:48:55.783059,Cozinha
USER_0110,Usuario_110,F,36,36-50,Nao_fumante,Bic,Dourado,Descartavel,3.74,2025-07-22 22:48:55.783059,2025-09-19 22:48:55.783059,59,Casa,Incenso,8,0.14,2025-09,True,56,2025-09-16 22:48:55.783059,Casa
USER_0111,Usuario_111,M,20,18-25,Pesado,Zippo,Verde,Recarregavel,49.64,2025-04-11 22:48:55.783059,2025-08-15 22:48:55.783059,126,Festa,Cigarro,400,3.17,2025-08,False,0,,N/A
USER_0112,Usuario_112,M,21,18-25,Esporadico,Cricket,Vermelho,Descartavel,1.08,2025-03-12 22:48:55.783059,2025-05-06 22:48:55.783059,55,Trabalho,Vela,45,0.82,2025-05,False,0,,N/A
USER_0113,Usuario_113,F,53,51+,Social,Bic,Branco,Descartavel,2.57,2025-01-19 22:48:55.783059,2025-02-04 22:48:55.783059,16,Bar,Tabaco,22,1.38,2025-02,False,0,,N/A
USER_0114,Usuario_114,F,47,36-50,Moderado,Bic,Amarelo,Descartavel,3.03,2025-07-06 22:48:55.783059,2025-09-17 22:48:55.783059,73,Casa,Cigarro,123,1.68,2025-09,False,0,,N/A
USER_0115,Usuario_115,M,42,36-50,Social,Bic,Azul,Descartavel,2.78,2024-10-14 22:48:55.783059,2024-12-23 22:48:55.783059,70,Rua,Incenso,118,1.69,2024-12,True,23,2024-11-06 22:48:55.783059,Calcada
USER_0116,Usuario_116,M,28,26-35,Esporadico,Zippo,Dourado,Recarregavel,50.54,2025-06-09 22:48:55.783059,2025-09-22 22:48:55.783059,105,Casa,Incenso,94,0.9,2025-09,False,0,,N/A
USER_0117,Usuario_117,F,37,36-50,Moderado,Clipper,Prata,Recarregavel,8.83,2025-02-28 22:48:55.783059,2025-04-22 22:48:55.783059,53,Trabalho,Vela,118,2.23,2025-04,True,20,2025-03-20 22:48:55.783059,Trabalho
